time,VEOG,HEOG,FZ,CZ,PZ,F7,F8,T5,T6,A2,T3,T4,F3,F4,C3,C4,AF3,AF4,FC3,FC4,CP3,CP4,FT7,FT8,P3,P4,PO7,PO8,P5,P6,OZ,Midline,LF,RF,LC,RC,LP,RP,LF_5s,RF_5s,LP_5s,RP_5s,ROI
-145,0.6428,0.042,1.6717,1.506,1.0778,1.1392,1.2026,0.6603,0.6932,-0.0599,0.8888,0.8519,1.4234,1.5761,1.1628,1.2069,1.2883,1.3147,1.2352,1.3442,0.9239,0.9779,0.975,0.9619,0.7095,0.8145,-0.1287,0.1549,0.0767,0.3218,0.2766,1.4185,1.2065,1.2638,1.0527,1.0952,0.3295,0.4961,1.2122,1.2799,0.4483,0.5925,1.0621
-140,0.5613,-0.0273,1.376,1.2936,0.9789,0.8906,1.0242,0.6072,0.7414,0.0485,0.7232,0.8081,1.1488,1.3374,0.9954,1.0959,1.0434,1.0895,1.0128,1.1669,0.8327,0.9378,0.7538,0.8421,0.687,0.8361,-0.0313,0.2861,0.154,0.472,0.2408,1.2161,0.9591,1.0733,0.891,1.0022,0.3542,0.5839,0.9699,1.092,0.4499,0.6547,0.9563
-135,0.4658,-0.0929,1.063,1.0632,0.8575,0.6306,0.8274,0.5392,0.7649,0.1493,0.5459,0.7471,0.8606,1.0784,0.8126,0.9611,0.7831,0.8506,0.7787,0.9698,0.7266,0.873,0.5274,0.7094,0.646,0.8302,0.0576,0.3956,0.2199,0.5959,0.1925,0.9946,0.7004,0.8664,0.7159,0.8877,0.3657,0.6467,0.7161,0.8871,0.4379,0.6919,0.8311
-130,0.3644,-0.1553,0.7458,0.8237,0.7166,0.369,0.6217,0.4587,0.7644,0.2401,0.3626,0.6697,0.5715,0.8109,0.6209,0.8084,0.5198,0.6076,0.5428,0.7619,0.6088,0.7867,0.3025,0.5674,0.5879,0.7977,0.136,0.4826,0.2734,0.6908,0.1349,0.762,0.4407,0.6519,0.5338,0.7567,0.364,0.6839,0.4611,0.6739,0.413,0.7044,0.6909
-125,0.2636,-0.215,0.4346,0.5829,0.5612,0.1127,0.4152,0.3684,0.7418,0.3199,0.1796,0.5783,0.2919,0.5447,0.4266,0.6453,0.2637,0.3682,0.3127,0.5516,0.4825,0.6839,0.0825,0.4194,0.5155,0.7421,0.2021,0.5481,0.3134,0.7569,0.0729,0.5263,0.1877,0.4369,0.3504,0.6148,0.3499,0.6972,0.2127,0.4598,0.3764,0.6945,0.5412
-120,0.1676,-0.2708,0.137,0.3468,0.3975,-0.1326,0.2136,0.2696,0.7001,0.3877,0.0008,0.475,0.0282,0.2866,0.2338,0.478,0.0214,0.1381,0.092,0.345,0.3497,0.5695,-0.1291,0.2684,0.4319,0.6679,0.2563,0.5942,0.3388,0.7967,0.0115,0.2938,-0.053,0.2267,0.1691,0.4669,0.3241,0.6898,-0.024,0.2503,0.3293,0.6657,0.3866
-115,0.078,-0.3181,-0.1418,0.1199,0.2313,-0.3605,0.021,0.1644,0.6423,0.4421,-0.1712,0.3619,-0.2162,0.0416,0.045,0.311,-0.2027,-0.0787,-0.1179,0.1463,0.2126,0.4482,-0.3268,0.1196,0.3412,0.5799,0.3011,0.6231,0.3496,0.8127,-0.0448,0.0698,-0.2765,0.0259,-0.0079,0.3168,0.2891,0.6645,-0.2448,0.0499,0.2738,0.6212,0.2316
-110,-0.0069,-0.352,-0.3966,-0.0922,0.0697,-0.5651,-0.1584,0.0577,0.572,0.4814,-0.3325,0.2441,-0.4384,-0.1858,-0.1354,0.1485,-0.4052,-0.2782,-0.314,-0.0412,0.0754,0.3247,-0.5051,-0.0213,0.2484,0.483,0.3387,0.6363,0.3488,0.8075,-0.0929,-0.1397,-0.4784,-0.1609,-0.1766,0.169,0.2484,0.6247,-0.4456,-0.137,0.2138,0.5647,0.0812
-105,-0.0876,-0.3716,-0.6233,-0.2849,-0.0812,-0.7422,-0.3221,-0.0453,0.4934,0.5056,-0.4785,0.1273,-0.6352,-0.3918,-0.3022,-0.0056,-0.5837,-0.4576,-0.492,-0.214,-0.0565,0.2036,-0.6607,-0.153,0.1576,0.3823,0.3699,0.6354,0.3401,0.7843,-0.1321,-0.3298,-0.6555,-0.3311,-0.3323,0.0278,0.2056,0.5739,-0.6228,-0.3077,0.1532,0.4998,-0.0598
-100,-0.1622,-0.3791,-0.8205,-0.4562,-0.2172,-0.8909,-0.4691,-0.1411,0.4089,0.5169,-0.6066,0.0145,-0.805,-0.5755,-0.4517,-0.1498,-0.7372,-0.6167,-0.6485,-0.3715,-0.1792,0.0874,-0.7933,-0.2756,0.0712,0.2819,0.3934,0.6226,0.3254,0.7464,-0.1616,-0.498,-0.8066,-0.4842,-0.4715,-0.1048,0.1622,0.5149,-0.775,-0.4617,0.0939,0.4294,-0.1888
-95,-0.2287,-0.377,-0.9896,-0.607,-0.3377,-1.0125,-0.5997,-0.2277,0.3196,0.5173,-0.716,-0.0941,-0.9481,-0.739,-0.5823,-0.2845,-0.866,-0.7563,-0.7825,-0.5153,-0.2905,-0.0233,-0.9037,-0.3892,-0.0106,0.1837,0.4077,0.6,0.3056,0.6963,-0.1823,-0.6448,-0.9326,-0.621,-0.5928,-0.2293,0.1187,0.4499,-0.9026,-0.5999,0.0369,0.3553,-0.3054
-90,-0.2877,-0.3672,-1.1346,-0.7404,-0.4433,-1.108,-0.7153,-0.3042,0.2263,0.5071,-0.8064,-0.1996,-1.0672,-0.8859,-0.6954,-0.4116,-0.9726,-0.8777,-0.896,-0.648,-0.3901,-0.1288,-0.9935,-0.495,-0.0876,0.0883,0.4149,0.5688,0.2822,0.6357,-0.1949,-0.7728,-1.0353,-0.7435,-0.697,-0.347,0.0763,0.3798,-1.0075,-0.7244,-0.017,0.2781,-0.411
-85,-0.3408,-0.3498,-1.2602,-0.8609,-0.5351,-1.1799,-0.8186,-0.3697,0.13,0.4855,-0.8781,-0.3023,-1.1669,-1.0188,-0.7936,-0.5322,-1.0602,-0.9824,-0.9925,-0.7706,-0.4785,-0.2296,-1.0654,-0.5935,-0.1596,-0.0038,0.4192,0.531,0.2582,0.5666,-0.1982,-0.8854,-1.1181,-0.8533,-0.7857,-0.4587,0.037,0.3059,-1.093,-0.8368,-0.0661,0.1988,-0.5068
