         worklat,       value,     chindex,     chlabel,        bini,                         binlabel,grammar,word_type,ERPset,ID,Accuracy,subjectID,reading_speed,comprehension_score,Experiment,Sex,Age,Years of Formal Education,Occupation,Vividness,Control
  [300.0  500.0],0.963,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
  [300.0  500.0],-0.649,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
  [300.0  500.0],3.521,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
  [300.0  500.0],2.025,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
  [300.0  500.0],0.904,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
  [300.0  500.0],2.988,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
  [300.0  500.0],-0.355,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
  [300.0  500.0],0.979,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
  [300.0  500.0],1.484,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
  [300.0  500.0],0.417,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
  [300.0  500.0],-0.063,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
  [300.0  500.0],0.502,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
  [300.0  500.0],0.827,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
  [300.0  500.0],-2.121,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
  [300.0  500.0],0.641,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
  [300.0  500.0],-2.211,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
  [300.0  500.0],2.368,15,          C3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
  [300.0  500.0],2.088,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
  [300.0  500.0],2.151,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
  [300.0  500.0],1.273,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
  [300.0  500.0],-2.805,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
  [300.0  500.0],3.479,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
  [300.0  500.0],-0.299,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
  [300.0  500.0],2.144,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
  [300.0  500.0],1.198,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
  [300.0  500.0],0.201,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
  [300.0  500.0],1.627,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
  [300.0  500.0],1.767,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
  [300.0  500.0],-0.542,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
  [300.0  500.0],-0.431,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
  [300.0  500.0],-0.274,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
  [300.0  500.0],0.676,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
  [300.0  500.0],-3.038,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,25,25,0.94,,,,,,,,Student,,
  [300.0  500.0],-4.63,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
  [300.0  500.0],-3.122,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
  [300.0  500.0],2.98,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
  [300.0  500.0],6.302,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
  [300.0  500.0],1.104,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
  [300.0  500.0],2.092,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
  [300.0  500.0],-0.263,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
  [300.0  500.0],1.257,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
  [300.0  500.0],4.115,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
  [300.0  500.0],0.779,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
  [300.0  500.0],-1.912,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
  [300.0  500.0],1.93,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
  [300.0  500.0],0.969,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
  [300.0  500.0],-0.359,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
  [300.0  500.0],2.503,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
  [300.0  500.0],-0.303,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
  [300.0  500.0],1.101,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
  [300.0  500.0],-0.512,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
  [300.0  500.0],-0.029,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
  [300.0  500.0],-1.146,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
  [300.0  500.0],-1.266,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
  [300.0  500.0],-1.274,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
  [300.0  500.0],-2.88,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
  [300.0  500.0],1.294,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
  [300.0  500.0],-2.005,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
  [300.0  500.0],0.844,16,          C4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
  [300.0  500.0],3.906,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
  [300.0  500.0],2.617,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
  [300.0  500.0],2.313,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
  [300.0  500.0],1.096,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
  [300.0  500.0],2.158,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
  [300.0  500.0],1.43,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
  [300.0  500.0],2.906,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
  [300.0  500.0],2.558,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
  [300.0  500.0],5.836,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
  [300.0  500.0],1.931,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
  [300.0  500.0],1.699,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
  [300.0  500.0],1.376,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
  [300.0  500.0],-1.283,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
  [300.0  500.0],-0.825,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
  [300.0  500.0],1.039,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
  [300.0  500.0],-2.123,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,25,25,0.94,,,,,,,,Student,,
  [300.0  500.0],-3.486,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
  [300.0  500.0],0.022,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
  [300.0  500.0],1.544,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
  [300.0  500.0],5.66,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
  [300.0  500.0],3.788,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
  [300.0  500.0],0.059,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
  [300.0  500.0],1.05,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
  [300.0  500.0],0.57,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
  [300.0  500.0],2.817,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
  [300.0  500.0],0.674,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
  [300.0  500.0],0.334,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
  [300.0  500.0],2.314,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
  [300.0  500.0],3.337,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
  [300.0  500.0],3.023,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
  [300.0  500.0],3.933,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
  [300.0  500.0],0.971,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
  [300.0  500.0],0.882,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
  [300.0  500.0],-1.464,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
  [300.0  500.0],-0.752,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
  [300.0  500.0],2.533,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
  [300.0  500.0],0.124,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
  [300.0  500.0],-0.784,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
  [300.0  500.0],-4.185,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
  [300.0  500.0],-0.835,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
  [300.0  500.0],-1.48,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
  [300.0  500.0],-0.571,17,         AF3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
  [300.0  500.0],3.789,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
  [300.0  500.0],2.349,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
  [300.0  500.0],1.017,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
  [300.0  500.0],0.049,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
  [300.0  500.0],1.293,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
  [300.0  500.0],0.078,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
  [300.0  500.0],1.739,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
  [300.0  500.0],1.773,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
  [300.0  500.0],3.117,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
  [300.0  500.0],2.153,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
  [300.0  500.0],1.595,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
  [300.0  500.0],0.593,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
  [300.0  500.0],-0.223,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
  [300.0  500.0],-0.778,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
  [300.0  500.0],0.408,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
  [300.0  500.0],-0.029,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,25,25,0.94,,,,,,,,Student,,
  [300.0  500.0],-4.406,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
  [300.0  500.0],-0.911,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,30,30,0.87,s30l6,339,32,APS_Silent,Male,20,15,Student,85,88
  [300.0  500.0],1.722,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,31,31,0.86,s31l7,164,18,APS_Silent,Female,19,12,Student,59,69
  [300.0  500.0],5.508,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,37,37,0.93,s37L9,261,35,APS_Silent,Female,19,13,Student,89,74
  [300.0  500.0],2.467,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,38,38,0.91,s38l5,211,34,APS_Silent,Female,18,12,Student,47,64
  [300.0  500.0],1.289,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,39,39,0.95,S39L12,312,35,APS_Silent,Male,28,16,Student,88,85
  [300.0  500.0],0.689,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,40,40,0.9,s40l4,106,28,APS_Silent,Male,19,13,Student,45,38
  [300.0  500.0],0.455,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,42,42,0.78,S42L5,164,25,APS_Silent,Male,24,15,Student,74,73
  [300.0  500.0],3.101,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,43,43,0.89,S43L3,312,34,APS_Silent,Female,20,14,Student,64,69
  [300.0  500.0],0.032,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,44,44,0.92,s44l8,195,33,APS_Silent,Female,18,12,Student,60,67
  [300.0  500.0],-0.399,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,46,46,0.88,s46L2,261,30,APS_Silent,Male,19,13,Student,59,82
  [300.0  500.0],2.058,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,47,47,0.88,s47L5,247,35,APS_Silent,Male,18,12,Student,80,73
  [300.0  500.0],2.532,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,48,48,0.88,s48l11,247,29,APS_Silent,Male,18,12,Student,71,67
  [300.0  500.0],2.823,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,49,49,0.89,s49L10,223,32,APS_Silent,Male,19,12,Student,92,87
  [300.0  500.0],3.583,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,51,51,0.95,s51L12,364,35,APS_Silent,Female,19,13,Student,80,78
  [300.0  500.0],0.374,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,52,52,0.91,S52L5,179,26,APS_Silent,Female,22,17,Student,61,62
  [300.0  500.0],1.145,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,61,61,0.86,S61,364,27,APS_Silent,Female,18,12,Student,79,82
  [300.0  500.0],-2.228,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,62,62,0.9,S62L2,179,34,APS_Silent,Male,20,14,Student,96,92
  [300.0  500.0],-0.683,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,63,63,0.9,S63L3,223,28,APS_Silent,Female,19,12,Student,63,63
  [300.0  500.0],1.148,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,64,64,0.93,S64L4,137,33,APS_Silent,Female,18,12.5,Student,52,65
  [300.0  500.0],-0.638,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,65,65,0.9,S65L5,232,35,APS_Silent,Male,27,12,Student,52,64
  [300.0  500.0],-1.187,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,66,66,0.9,S66L6,364,33,APS_Silent,Female,19,13.5,Student,62,73
  [300.0  500.0],-4.627,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,67,67,0.91,S67L7,179,25,APS_Silent,Male,21,14.5,Student,92,88
  [300.0  500.0],-0.203,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,68,68,0.89,s68l8,279,32,APS_Silent,Male,18,12.5,Student,86,76
  [300.0  500.0],-1.01,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,70,70,0.93,S70L10,232,32,APS_Silent,Male,20,15,Student,49,47
  [300.0  500.0],-1.503,18,         AF4,2,incorrect_Verb_in_correct_Pronoun,bad,verb,72,72,0.91,S72L12,123,23,APS_Silent,Male,20,13,Student,76,76
  [300.0  500.0],2.854,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
  [300.0  500.0],2.757,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
  [300.0  500.0],2.686,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
  [300.0  500.0],-0.379,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
  [300.0  500.0],4.043,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
  [300.0  500.0],1.521,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
  [300.0  500.0],3.093,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
  [300.0  500.0],2.568,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
  [300.0  500.0],6.426,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
  [300.0  500.0],2.053,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
  [300.0  500.0],1.329,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
  [300.0  500.0],1.101,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,16,16,0.93,s16l4,211,37,APS_Silent,Male,18,12,Student,72,79
  [300.0  500.0],-1.797,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,18,18,0.91,S18L6,195,34,APS_Silent,Male,19,12,Student,85,79
  [300.0  500.0],-0.881,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,21,21,0.93,s21L9,137,15,APS_Silent,Male,18,12,Student,72,70
  [300.0  500.0],0.479,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,22,22,0.91,s22l10,164,21,APS_Silent,Male,23,17,Student,77,98
  [300.0  500.0],-2.172,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,25,25,0.94,,,,,,,,Student,,
  [300.0  500.0],-4.838,19,         FC3,2,incorrect_Verb_in_correct_Pronoun,bad,verb,27,27,0.95,S27L3,247,33,APS_Silent,Female,18,12,Student,77,82
