Experiment,         worklat,       value,     chindex,     chlabel,        bini,                         binlabel,grammar,word_type,ERPset,ID,Accuracy,subjectID,reading_speed,comprehension_score,Experiment,Sex,Age,Years of Formal Education,Occupation,Vividness,Control
APS_Silent,  [600.0  800.0],-1.308,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,1,1,0.92,s1L1,211,24,APS_Silent,Female,19,14,Student,74,68
APS_Silent,  [600.0  800.0],-0.172,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,2,2,0.96,S2L2,195,32,APS_Silent,Female,18,12,Student,88,87
APS_Silent,  [600.0  800.0],0.87,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,3,3,0.93,S3L3,223,25,APS_Silent,Female,21,14,Student,66,63
APS_Silent,  [600.0  800.0],-5.611,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,4,4,0.83,S4L4,211,31,APS_Silent,Male,18,12,Student,61,67
APS_Silent,  [600.0  800.0],-3.512,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,6,6,0.88,S6L6,232,29,APS_Silent,Female,18,13,Student,67,70
APS_Silent,  [600.0  800.0],0.136,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,7,7,0.92,S7L7,247,31,APS_Silent,Female,18,12,Student,45,42
APS_Silent,  [600.0  800.0],1.476,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,8,8,0.94,S8L8,279,34,APS_Silent,Female,19,14,Student,76,70
APS_Silent,  [600.0  800.0],-2.811,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,10,10,0.91,S10L10,179,31,APS_Silent,Female,19,13,Student,75,61
APS_Silent,  [600.0  800.0],-0.83,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,12,12,0.96,S12L12,164,31,APS_Silent,Female,18,12,Student,68,57
APS_Silent,  [600.0  800.0],-1.693,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,13,13,0.92,S13L1,211,25,APS_Silent,Female,19,13,Student,80,69
APS_Silent,  [600.0  800.0],-2.793,10,          A2,1,  Correct_Verb_in_Correct_Pronoun,good,verb,14,14,0.9,L14L2,211,17,APS_Silent,Female,20,12,Student,82,81
